ticker,p-value,h
WTBFA,0.3614810753200536,0.4930348878746626
DIS,0.11873934507247624,0.590366897244197
WAFD,0.8323588586112256,0.6579413590407344
VTR,0.3192553250274251,0.5611410700848737
VMC,0.5534360606135369,0.5762733874759844
USPH,0.7553240434424364,0.7497929802473561
MTN,0.8780903295707886,0.7676956960022088
VLO,0.6615858509218363,0.6656321689552336
UCFC,0.5888665176750438,0.7088409119783501
UFCS,0.7449791784978028,0.5795940760519938
UPS,0.17565846871247703,0.5080418403091335
UNH,0.5989301549041866,0.7609279762245561
UNTY,0.8601537910633634,0.7311969260881191
UFPI,0.3669100109141282,0.6743802792419994
TYBT,0.936617595172722,0.5754620996345552
TRN,0.41726704205604287,0.5817718005525282
TRUX,0.35532799417696637,0.7613875527683632
TRCB,0.5909984525935892,0.7321546577262138
TSN,0.6316392778626388,0.6368866519161367
USB,0.5392456137396303,0.6044821722893708
UDR,0.5861837262270889,0.6132917294506668
UMPQ,0.48261541978669287,0.5823531622675432
UNB,0.9126460601729294,0.6765736269825163
UBCP,0.6936681841044343,0.656500723593099
UCBI,0.6608691971841064,0.6219101948018874
OC,0.73222003160571,0.6717597817828137
ORM,0.04210575628274638,0.5878482260959905
OXM,0.23445533150346015,0.49521671677177714
GLT,0.08361917807666908,0.5395869701694099
PCAR,0.1552082276229148,0.6081801997437033
PKG,0.699700855977671,0.7475487560088433
PKBK,0.7354659788061001,0.7374979291295266
PEGI,0.11121632546704668,0.6325482539506978
PDCO,0.7927225319693197,0.6215047817611721
PAYX,0.4119138432658798,0.695101521619914
PBFX,0.31056292218874604,0.5599864431416726
PAG,0.06393220583024582,0.5347155417312559
PEBK,0.7948267359047438,0.6770687701596726
PPLL,0.11632088278889507,0.6900470790060386
PFE,0.5031676400154041,0.5819348705055766
PSX,0.602446580600237,0.5673359801241886
PSXP,0.04470968087960773,0.5115671900592165
PPBN,0.8488415830590434,0.6317772403571386
PNW,0.7235099239031598,0.6178950686332287
PNBI,0.892779573978581,0.6253927773745124
PNC,0.6528928014903508,0.6714250363142849
PNM,0.37357422983506205,0.6683115342569378
