Date,Open,High,Low,Close,Adj Close,Volume
2007-08-17,5.149900,5.260650,4.933940,4.997620,3.928435,273182132
2007-08-20,5.127750,5.158210,5.055760,5.102830,4.011136,132868301
2007-08-21,5.130520,5.221890,5.080680,5.188660,4.078604,151514858
2007-08-22,5.216350,5.393550,5.213580,5.393550,4.239660,152359610
2007-08-23,5.501530,5.534760,5.310490,5.332640,4.191781,161951590
2007-08-24,5.304950,5.421240,5.266190,5.280030,4.150426,166352295
2007-08-27,5.335410,5.352020,5.302180,5.327100,4.187426,72200792
2007-08-28,5.313260,5.354790,5.232960,5.232960,4.113426,77695740
2007-08-29,5.172050,5.280030,5.130520,5.277260,4.148248,133613774
2007-08-30,5.354790,5.354790,5.210810,5.304950,4.170015,117630558
2007-08-31,5.340940,5.440620,5.288340,5.399090,4.244015,121156378
2007-09-03,5.435080,5.615050,5.407390,5.609510,4.409418,115797779
2007-09-04,5.592900,5.642740,5.523680,5.612280,4.411595,159768912
2007-09-05,5.576290,5.592900,5.401860,5.401860,4.246192,150403174
2007-09-06,5.465540,5.512610,5.374170,5.473840,4.302773,185237577
2007-09-07,5.448930,5.509840,5.285570,5.285570,4.154781,134038751
2007-09-10,5.296640,5.360330,5.108370,5.122210,4.026370,206888674
2007-09-11,5.191430,5.277260,5.166510,5.235730,4.115604,143146153
2007-09-12,5.263420,5.299410,5.185890,5.246810,4.124313,130490687
2007-09-13,5.216350,5.304950,5.133290,5.296640,4.163483,144149168
2007-09-14,5.285570,5.376940,5.210810,5.291110,4.159136,184802754
2007-09-17,5.260650,5.271720,5.141590,5.144360,4.043781,131415565
2007-09-18,5.086220,5.266190,5.086220,5.255110,4.130837,125995838
2007-09-19,5.390780,5.418470,5.282800,5.396320,4.241837,174809007
2007-09-20,5.340940,5.379710,5.293880,5.329870,4.189603,108471360
2007-09-21,5.376940,5.592900,5.376940,5.579060,4.385482,247308279
2007-09-24,5.606750,5.795020,5.598440,5.778410,4.542183,228503600
2007-09-25,5.723030,5.800560,5.662120,5.731340,4.505183,201502843
2007-09-26,5.831020,5.980530,5.822710,5.933460,4.664062,230424523
2007-09-27,6.055280,6.074670,5.939000,5.977760,4.698884,198022610
2007-09-28,5.950070,5.961150,5.817170,5.872550,4.616183,165195140
